"","PathogenName","Pathogen_Harmonised","UNsubregion","CountryISO_EID2Wertheim"
"50","human enterovirus b","human enterovirus b","Northern Africa, Eastern Africa, Middle Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","BY,GR,CY,KE,EE,CD,CN,PL,RO,IN,AU,JP,ES,DK,MA,BF,GB,DE,AR,US,OM,RU,EG,PK,NG,DZ,FR,ET,BE,NL,IT,TW,CA,CH,LY,TN,HK,DO,FI,CR,MG,HU,PA,KR,BD,KH,MN,LV,AZ,TR,HR,BR,AT,UZ,GE,CU,UA,SG,LT,EC,MD,HN,SE,IR,IL,KG,IE,JO,IQ,MX,CZ,JM"
"51","human enterovirus c","human enterovirus c","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IL,CF,BY,SO,CN,CM,LR,TD,MA,AU,IT,GT,CU,IN,JP,NL,TW,NG,GB,SD,PK,EG,ZM,TN,US,GR,VN,DO,CY,CO,MG,CD,MY,RU,KR,BD,KH,MN,EC,FI,AR,ZA,TR,BR,NI,ID,SN,BJ,IQ,AM,SY,FR,CI,GE,SG,AF,CA,BF,AO,HK,PH,KE,NP,GH,DK,GF,TM,DE,NE,LA,MX,IR,PS,GP,MV"
"52","porcine enterovirus a","porcine enterovirus a",NA,NA
"53","porcine enterovirus b","porcine enterovirus b","Eastern Asia, Northern Europe, Southern Europe","TW,IT,CN,GB"
"54","simian enterovirus a","simian enterovirus a",NA,NA
"55","european bat lyssavirus 1","european bat lyssavirus 1","Eastern Europe, Northern Europe, Southern Europe, Western Europe","PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,DE,DK"
"56","european bat lyssavirus 2","european bat lyssavirus 2","Northern Europe, Western Europe","GB,CH,FI,NL,DE"
"57","everglades","everglades",NA,NA
"58","foot-and-mouth disease","foot-and-mouth disease",NA,NA
"59","gan gan","gan gan",NA,NA
"60","guama","guama",NA,NA
"61","guanarito","guanarito",NA,NA
"62","guaroa","guaroa",NA,NA
"63","hantaan","hantaan","Eastern Asia, Eastern Europe","CN,RU,KP,KR"
"64","hendra","hendra","Australia and New Zealand","AU"
"65","duck hepatitis b","duck hepatitis b",NA,NA
"66","hepatitis b","hepatitis b","South America",NA
"67","heron hepatitis b","heron hepatitis b",NA,NA
"68","human immunodeficiency virus 1","human immunodeficiency virus 1","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia","KE,BY,TZ,CD,TR,UG,ET,BG,CY,RW,SC,ZW,CN,MW,RO,AU,BF,ES,CH,TD,GN,AO,AG,VC,AR,LC,MX,CU,CW,GB,IN,BI,ER,RU,DZ,NL,AT,TH,GA,MY,BE,LT,DE,IT,CA,NP,NE,PT,ZM,SD,NZ,IR,CL,LY,LB,VE,GH,VN,GR,BW,MZ,KZ,CZ,DO,TN,PL,HN,MM,SK,PE,CV,GQ,IE,HU,PA,GP,PH,PR,KR,MN,HR,EC,BD,LV,AZ,GF,ZA,MQ,GY,BR,CR,ID,SN,SE,CM,UZ,TT,DM,YE,SL,GW,UA,FR,HT,CI,JM,US,GE,DJ,BS,CG,BO,SI,LU,AF,MA,JP,BJ,IL,LR,KH,CF,ML,SV,MU,CO,DK,FI,EG,TW,UY,EE,GM,BB,NG,AL,GD,NO,HK,MS,PK,SR,SA,SG,SO,FJ,PY,PG,SB,NC,PF,WS,GT,UM,GU,TG,MV"
"69","human immunodeficiency virus 2","human immunodeficiency virus 2",NA,NA
"70","human mastadenovirus a","human mastadenovirus a",NA,NA
"71","human mastadenovirus b","human mastadenovirus b",NA,NA
"72","human mastadenovirus c","human mastadenovirus c",NA,NA
"73","human mastadenovirus d","human mastadenovirus d",NA,NA
"74","human mastadenovirus e","human mastadenovirus e",NA,NA
"75","human mastadenovirus f","human mastadenovirus f",NA,NA
"76","human adenovirus a","human adenovirus a",NA,NA
"77","human adenovirus b","human adenovirus b","Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IL,JP,MA,AT,GB,PT,KR,AU,US,MX,TW,SA,IE,TH,CA,MY,TR,IT,NL,CN,EG,SG,ES,AR"
"78","human adenovirus c","human adenovirus c","Northern Africa, Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","JP,MA,GB,US,IR,BR,HU,PY,DE,AZ,MX,RU,MY,ZA,AR,AM,CN,EG,VN,TW,IT"
"79","human adenovirus d","human adenovirus d",NA,NA
"80","human adenovirus e","human adenovirus e",NA,NA
"81","human adenovirus f","human adenovirus f",NA,NA
"82","human astrovirus","human astrovirus",NA,NA
"83","human gammaherpesvirus 4","human gammaherpesvirus 4",NA,NA
"84","human gammaherpesvirus 8","human gammaherpesvirus 8",NA,NA
"85","human herpesvirus 1, human alphaherpesvirus 1","human herpesvirus 1","Eastern Africa, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","JP,SE,DE,KR,US,GB,SK,ES,FR,CN,IN,NL,KE,AU,SG,TW"
"86","human alphaherpesvirus 2, human herpesvirus 2","human herpesvirus 2",NA,NA
"87","human herpesvirus 3","human herpesvirus 3",NA,NA
"88","human herpesvirus 4","human herpesvirus 4","Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Polynesia","AU,HK,IT,MY,CN,FR,SI,JP,TW,RS,AR,RU,GB,SG,TH,CA,US,MX,BR,PF"
"89","human herpesvirus 5","human herpesvirus 5",NA,NA
"90","human herpesvirus 6","human herpesvirus 6","Eastern Africa, Middle Africa, South America, Eastern Asia, Southern Asia","IN,JP,BR,CD,CN,UG"
"91","human herpesvirus 7","human herpesvirus 7",NA,NA
